city,state
Kaithal,Haryana
Kakinada,Andhra Pradesh
Kalpi,Uttar Pradesh
Kalyan-Dombivali,Maharashtra
Kamareddy,Telangana
Kancheepuram,Tamil Nadu
Kandukur,Andhra Pradesh
Kanhangad,Kerala
Kannur,Kerala
Kanpur,Uttar Pradesh
Kapadvanj,Gujarat
Kapurthala,Punjab
Karaikal,Puducherry
Karimganj,Assam
Karimnagar,Telangana
Karjat,Maharashtra
Karnal,Haryana
Karur,Tamil Nadu
Karwar,Karnataka
Kasaragod,Kerala
Kashipur,Uttarakhand
Kathua,Jammu and Kashmir
Katihar,Bihar
Kavali,Andhra Pradesh
Kayamkulam,Kerala
Kendrapara,Odisha
Kendujhar,Odisha
Keshod,Gujarat
Khair,Uttar Pradesh
Khambhat,Gujarat
Khammam,Telangana
Khanna,Punjab
Kharagpur,West Bengal
Kharar,Punjab
Khowai,Tripura
Kishanganj,Bihar
Kochi,Kerala
Kodungallur,Kerala
Kohima,Nagaland
Kolar,Karnataka
Kolkata,West Bengal
Kollam,Kerala
Korba,Chhattisgarh
Koratla,Telangana
Kot Kapura,Punjab
Kothagudem,Telangana
Kottayam,Kerala
Kovvur,Andhra Pradesh
Kozhikode,Kerala
Kunnamkulam,Kerala
Kurnool,Andhra Pradesh
Kyathampalle,Telangana
Lachhmangarh,Rajasthan
Ladnu,Rajasthan
Ladwa,Haryana
Lahar,Madhya Pradesh
Laharpur,Uttar Pradesh
Lakheri,Rajasthan
Lakhimpur,Uttar Pradesh
Lakhisarai,Bihar
Lakshmeshwar,Karnataka
Lal Gopalganj Nindaura,Uttar Pradesh
Lalganj,Bihar
Lalgudi,Tamil Nadu
Lalitpur,Uttar Pradesh
Lalganj,Uttar Pradesh
Lalsot,Rajasthan
Lanka,Assam
Lar,Uttar Pradesh
Lathi,Gujarat
Latur,Maharashtra
Lilong,Manipur
Limbdi,Gujarat
Lingsugur,Karnataka
Loha,Maharashtra
Lohardaga,Jharkhand
Lonar,Maharashtra
Lonavla,Maharashtra
Longowal,Punjab
Loni,Uttar Pradesh
Losal,Rajasthan
Lucknow,Uttar Pradesh
Ludhiana,Punjab
Lumding,Assam
Lunawada,Gujarat
Lunglei,Mizoram
Macherla,Andhra Pradesh
Machilipatnam,Andhra Pradesh
Madanapalle,Andhra Pradesh
Maddur,Karnataka
Madhepura,Bihar
Madhubani,Bihar
Madhugiri,Karnataka
Madhupur,Jharkhand
Madikeri,Karnataka
Madurai,Tamil Nadu
Magadi,Karnataka
Mahad,Maharashtra
Mahbubnagar,Telangana
Mahalingapura,Karnataka
Maharajganj,Bihar
Maharajpur,Madhya Pradesh
Mahasamund,Chhattisgarh
Mahe,Puducherry
Manendragarh,Chhattisgarh
Mahendragarh,Haryana
Mahesana,Gujarat
Mahidpur,Madhya Pradesh
Mahnar Bazar,Bihar
Mahuva,Gujarat
Maihar,Madhya Pradesh
Mainaguri,West Bengal
Makhdumpur,Bihar
Makrana,Rajasthan
Malda,West Bengal
Malaj Khand,Madhya Pradesh
Malappuram,Kerala
Malavalli,Karnataka
Malegaon,Maharashtra
Malerkotla,Punjab
Malkangiri,Odisha
Malkapur,Maharashtra
Malout,Punjab
Malpura,Rajasthan
Malur,Karnataka
Manachanallur,Tamil Nadu
Manasa,Madhya Pradesh
Manavadar,Gujarat
Manawar,Madhya Pradesh
Mancherial,Telangana
Mandalgarh,Rajasthan
Mandamarri,Telangana
Mandapeta,Andhra Pradesh
Mandawa,Rajasthan
Mandi,Himachal Pradesh
Mandi Dabwali,Haryana
Mandideep,Madhya Pradesh
Mandla,Madhya Pradesh
Mandsaur,Madhya Pradesh
Mandvi,Gujarat
Mandya,Karnataka
Maner,Bihar
Mangaldoi,Assam
Mangaluru,Karnataka
Mangalvedhe,Maharashtra
Manglaur,Uttarakhand
Mangrol,Gujarat
Mangrol,Rajasthan
Mangrulpir,Maharashtra
Manihari,Bihar
Manjlegaon,Maharashtra
Mankachar,Assam
Manmad,Maharashtra
Mansa,Punjab
Mansa,Gujarat
Manuguru,Telangana
Manvi,Karnataka
Manwath,Maharashtra
Mapusa,Goa
Margao,Goa
Margherita,Assam
Marhaura,Bihar
Mariani,Assam
Marigaon,Assam
Markapur,Andhra Pradesh
Marmagao,Goa
Masaurhi,Bihar
Mathabhanga,West Bengal
Mattannur,Kerala
Mathura,Uttar Pradesh
Mauganj,Madhya Pradesh
Mavelikkara,Kerala
Mavoor,Kerala
Mayang Imphal,Manipur
Medak,Telangana
Medinipur,West Bengal
Meerut,Uttar Pradesh
Mehkar,Maharashtra
Mahemdabad,Gujarat
Memari,West Bengal
Merta City,Rajasthan
Mhaswad,Maharashtra
Mhow Cantonment,Madhya Pradesh
Mhowgaon,Madhya Pradesh
Mihijam,Jharkhand
Mira-Bhayandar,Maharashtra
Mirganj,Bihar
Miryalaguda,Telangana
Modasa,Gujarat
Modinagar,Uttar Pradesh
Moga,Punjab
Mohali,Punjab
Mokameh,Bihar
Mokokchung,Nagaland
Monoharpur,West Bengal
Moradabad,Uttar Pradesh
Morena,Madhya Pradesh
Morinda,Punjab
Morshi,Maharashtra
Morvi,Gujarat
Motihari,Bihar
Motipur,Bihar
Mount Abu,Rajasthan
Mudalagi,Karnataka
Mudabidri,Karnataka
Muddebihal,Karnataka
Mudhol,Karnataka
Mukerian,Punjab
Mukhed,Maharashtra
Muktsar,Punjab
Mul,Maharashtra
Mulbagal,Karnataka
Multai,Madhya Pradesh
Greater Mumbai*,Maharashtra
Mundi,Madhya Pradesh
Mundargi,Karnataka
Mungeli,Chhattisgarh
Munger,Bihar
Murliganj,Bihar
Murshidabad,West Bengal
Murtijapur,Maharashtra
Murwara,Madhya Pradesh
Musabani,Jharkhand
Mussoorie,Uttarakhand
Muvattupuzha,Kerala
Muzaffarpur,Bihar
Nabadwip,West Bengal
Nabarangapur,Odisha
Nabha,Punjab
Nadbai,Rajasthan
Nadiad,Gujarat
Nagaon,Assam
Nagapattinam,Tamil Nadu
Nagar,Rajasthan
Nagari,Andhra Pradesh
Nagarkurnool,Telangana
Nagaur,Rajasthan
Nagda,Madhya Pradesh
Nagercoil,Tamil Nadu
Nagina,Uttar Pradesh
Nagla,Uttarakhand
Nagpur,Maharashtra
Nahan,Himachal Pradesh
Naharlagun,Arunachal Pradesh
Naidupet,Andhra Pradesh
Naihati,West Bengal
Naila Janjgir,Chhattisgarh
Nainital,Uttarakhand
Nainpur,Madhya Pradesh
Najibabad,Uttar Pradesh
Nakodar,Punjab
Nakur,Uttar Pradesh
Nalbari,Assam
Namagiripettai,Tamil Nadu
Namakkal,Tamil Nadu
Nanded-Waghala,Maharashtra
Nandgaon,Maharashtra
Nandivaram-Guduvancheri,Tamil Nadu
Nandura,Maharashtra
Nandurbar,Maharashtra
Nandyal,Andhra Pradesh
Nangal,Punjab
Nanjangud,Karnataka
Nanjikottai,Tamil Nadu
Nanpara,Uttar Pradesh
Narasapuram,Andhra Pradesh
Narasaraopet,Andhra Pradesh
Naraura,Uttar Pradesh
Narayanpet,Telangana
Nargund,Karnataka
Narkatiaganj,Bihar
Narkhed,Maharashtra
Narnaul,Haryana
Narsinghgarh,Madhya Pradesh
Narsinghgarh,Madhya Pradesh
Narsipatnam,Andhra Pradesh
Narwana,Haryana
Nashik,Maharashtra
Nasirabad,Rajasthan
Natham,Tamil Nadu
Nathdwara,Rajasthan
Naugachhia,Bihar
Naugawan Sadat,Uttar Pradesh
Nautanwa,Uttar Pradesh
Navalgund,Karnataka
Navi Mumbai,Maharashtra
Navsari,Gujarat
Nawabganj,Uttar Pradesh
Nawada,Bihar
Nawanshahr,Punjab
Nawapur,Maharashtra
Nedumangad,Kerala
Neem-Ka-Thana,Rajasthan
Neemuch,Madhya Pradesh
Nehtaur,Uttar Pradesh
Nelamangala,Karnataka
Nellikuppam,Tamil Nadu
Nellore,Andhra Pradesh
Nepanagar,Madhya Pradesh
New Delhi,Delhi
Neyveli (TS),Tamil Nadu
Neyyattinkara,Kerala
Nidadavole,Andhra Pradesh
Nilanga,Maharashtra
Nilambur,Kerala
Nimbahera,Rajasthan
Nirmal,Telangana
Niwari,Madhya Pradesh
Niwai,Uttar Pradesh
Nizamabad,Telangana
Nohar,Rajasthan
Noida,Uttar Pradesh
Nokha,Bihar
Nokha,Rajasthan
Nongstoin,Meghalaya
Noorpur,Uttar Pradesh
North Lakhimpur,Assam
Nowgong,Madhya Pradesh
Nowrozabad (Khodargama),Madhya Pradesh
Nuzvid,Andhra Pradesh
O' Valley,Tamil Nadu
Oddanchatram,Tamil Nadu
Obra,Uttar Pradesh
Ongole,Andhra Pradesh
Orai,Uttar Pradesh
Osmanabad,Maharashtra
Ottappalam,Kerala
Ozar,Maharashtra
P.N.Patti,Tamil Nadu
Pachora,Maharashtra
Pachore,Madhya Pradesh
Pacode,Tamil Nadu
Padmanabhapuram,Tamil Nadu
Padra,Gujarat
Padrauna,Uttar Pradesh
Paithan,Maharashtra
Pakaur,Jharkhand
Palacole,Andhra Pradesh
Palai,Kerala
Palakkad,Kerala
Palani,Tamil Nadu
Palanpur,Gujarat
Palasa Kasibugga,Andhra Pradesh
Palghar,Maharashtra
Pali,Rajasthan
Pali,Madhya Pradesh
Palia Kalan,Uttar Pradesh
Palitana,Gujarat
Palladam,Tamil Nadu
Pallapatti,Tamil Nadu
Pallikonda,Tamil Nadu
Palwal,Haryana
Palwancha,Telangana
Panagar,Madhya Pradesh
Panagudi,Tamil Nadu
Panaji,Goa
Panamattom,Kerala
Panchkula,Haryana
Panchla,West Bengal
Pandharkaoda,Maharashtra
Pandharpur,Maharashtra
Pandhurna,Madhya Pradesh
Pandua,West Bengal
Panipat,Haryana
Panna,Madhya Pradesh
Panniyannur,Kerala
Panruti,Tamil Nadu
Panvel,Maharashtra
Pappinisseri,Kerala
Paradip,Odisha
Paramakudi,Tamil Nadu
Parangipettai,Tamil Nadu
Parasi,Uttar Pradesh
Paravoor,Kerala
Parbhani,Maharashtra
Pardi,Gujarat
Parlakhemundi,Odisha
Parli,Maharashtra
Partur,Maharashtra
Parvathipuram,Andhra Pradesh
Pasan,Madhya Pradesh
Paschim Punropara,West Bengal
Pasighat,Arunachal Pradesh
Patan,Gujarat
Pathanamthitta,Kerala
Pathankot,Punjab
Pathardi,Maharashtra
Pathri,Maharashtra
Patiala,Punjab
Patna,Bihar
Pattran,Punjab
Patratu,Jharkhand
Pattamundai,Odisha
Patti,Punjab
Pattukkottai,Tamil Nadu
Patur,Maharashtra
Pauni,Maharashtra
Pauri,Uttarakhand
Pavagada,Karnataka
Pedana,Andhra Pradesh
Peddapuram,Andhra Pradesh
Pehowa,Haryana
Pen,Maharashtra
Perambalur,Tamil Nadu
Peravurani,Tamil Nadu
Peringathur,Kerala
Perinthalmanna,Kerala
Periyakulam,Tamil Nadu
Periyasemur,Tamil Nadu
Pernampattu,Tamil Nadu
Perumbavoor,Kerala
Petlad,Gujarat
Phagwara,Punjab
Phalodi,Rajasthan
Phaltan,Maharashtra
Phillaur,Punjab
Phulabani,Odisha
Phulera,Rajasthan
Phulpur,Uttar Pradesh
Phusro,Jharkhand
Pihani,Uttar Pradesh
Pilani,Rajasthan
Pilibanga,Rajasthan
Pilibhit,Uttar Pradesh
Pilkhuwa,Uttar Pradesh
Pindwara,Rajasthan
Pinjore,Haryana
Pipar City,Rajasthan
Pipariya,Madhya Pradesh
Piro,Bihar
Piriyapatna,Karnataka
Pithampur,Madhya Pradesh
Pithapuram,Andhra Pradesh
Pithoragarh,Uttarakhand
Pollachi,Tamil Nadu
Polur,Tamil Nadu
Pondicherry,Puducherry
Ponnani,Kerala
Ponneri,Tamil Nadu
Ponnur,Andhra Pradesh
Porbandar,Gujarat
Porsa,Madhya Pradesh
Port Blair,Andaman and Nicobar Islands
Powayan,Uttar Pradesh
Prantij,Rajasthan
Pratapgarh,Rajasthan
Pratapgarh,Tripura
Prithvipur,Madhya Pradesh
Proddatur,Andhra Pradesh
Pudukkottai,Tamil Nadu
Pudupattinam,Tamil Nadu
Pukhrayan,Uttar Pradesh
Pulgaon,Maharashtra
Puliyankudi,Tamil Nadu
Punalur,Kerala
Punch,Jammu and Kashmir
Pune,Maharashtra
Punjaipugalur,Tamil Nadu
Punganur,Andhra Pradesh
Puranpur,Uttar Pradesh
Purna,Maharashtra
Puri,Odisha
Purnia,Bihar
Purquazi,Uttar Pradesh
Purulia,West Bengal
Purwa,Uttar Pradesh
Pusad,Maharashtra
Puttur,Karnataka
Puthuppally,Kerala
Puttur,Andhra Pradesh
Qadian,Punjab
Koyilandy,Kerala
Rabkavi Banhatti,Karnataka
Radhanpur,Gujarat
Rae Bareli,Uttar Pradesh
Rafiganj,Bihar
Raghogarh-Vijaypur,Madhya Pradesh
Raghunathpur,West Bengal
Raghunathganj,West Bengal
Rahatgarh,Madhya Pradesh
Rahuri,Maharashtra
Raayachuru,Karnataka
Raiganj,West Bengal
Raigarh,Chhattisgarh
Ranebennuru,Karnataka
Ranipet,Tamil Nadu
Raikot,Punjab
Raipur,Chhattisgarh
Rairangpur,Odisha
Raisen,Madhya Pradesh
Raisinghnagar,Rajasthan
Rajagangapur,Odisha
Rajahmundry,Andhra Pradesh
Rajakhera,Rajasthan
Rajaldesar,Rajasthan
Rajam,Andhra Pradesh
Rajampet,Andhra Pradesh
Rajapalayam,Tamil Nadu
Rajauri,Jammu and Kashmir
Rajgarh (Alwar),Rajasthan
Rajgarh (Churu),Rajasthan
Rajgarh,Madhya Pradesh
Rajgir,Bihar
Rajkot,Gujarat
Rajnandgaon,Chhattisgarh
Rajpipla,Gujarat
Rajpura,Punjab
Rajsamand,Rajasthan
Rajula,Gujarat
Rajura,Maharashtra
Ramachandrapuram,Andhra Pradesh
Ramagundam,Telangana
Ramanagaram,Karnataka
Ramanathapuram,Tamil Nadu
Ramdurg,Karnataka
Rameshwaram,Tamil Nadu
Ramganj Mandi,Rajasthan
Ramgarh,Jharkhand
Ramngarh,Rajasthan
Ramnagar,Bihar
Ramnagar,Uttarakhand
Rampur,Uttar Pradesh
Rampur Maniharan,Uttar Pradesh
Rampur Maniharan,Uttar Pradesh
Rampura Phul,Punjab
Rampurhat,West Bengal
Ramtek,Maharashtra
Ranaghat,West Bengal
Ranavav,Gujarat
Ranchi,Jharkhand
Rangia,Assam
Rania,Haryana
Ranibennur,Karnataka
Rapar,Gujarat
Rasipuram,Tamil Nadu
Rasra,Uttar Pradesh
Ratangarh,Rajasthan
Rath,Uttar Pradesh
Ratia,Haryana
Ratlam,Madhya Pradesh
Ratnagiri,Maharashtra
Rau,Madhya Pradesh
Raurkela,Odisha
Raver,Maharashtra
Rawatbhata,Rajasthan
Rawatsar,Rajasthan
Raxaul Bazar,Bihar
Rayachoti,Andhra Pradesh
Rayadurg,Andhra Pradesh
Rayagada,Odisha
Reengus,Rajasthan
Rehli,Madhya Pradesh
Renigunta,Andhra Pradesh
Renukoot,Uttar Pradesh
Reoti,Uttar Pradesh
Repalle,Andhra Pradesh
Revelganj,Bihar
Rewa,Madhya Pradesh
Rewari,Haryana
Rishikesh,Uttarakhand
Risod,Maharashtra
Robertsganj,Uttar Pradesh
Robertson Pet,Karnataka
Rohtak,Haryana
Ron,Karnataka
Roorkee,Uttarakhand
Rosera,Bihar
Rudauli,Uttar Pradesh
Rudrapur,Uttarakhand
Rudrapur,Uttar Pradesh
Rupnagar,Punjab
Sabalgarh,Madhya Pradesh
Sadabad,Uttar Pradesh
Sadalagi,Karnataka
Sadasivpet,Telangana
Sadri,Rajasthan
Sadulshahar,Rajasthan
Sadulpur,Rajasthan
Safidon,Haryana
Safipur,Uttar Pradesh
Sagar,Madhya Pradesh
Sagara,Karnataka
Sagwara,Rajasthan
Saharanpur,Uttar Pradesh
Saharsa,Bihar
Sahaspur,Uttar Pradesh
Sahaswan,Uttar Pradesh
Sahawar,Uttar Pradesh
Sahibganj,Jharkhand
Sahjanwa,Uttar Pradesh
Saidpur,Uttar Pradesh
Saiha,Mizoram
Sailu,Maharashtra
Sainthia,West Bengal
Sakaleshapura,Karnataka
Sakti,Chhattisgarh
Salaya,Gujarat
Salem,Tamil Nadu
Salur,Andhra Pradesh
Samalkha,Haryana
Samalkot,Andhra Pradesh
Samana,Punjab
Samastipur,Bihar
Sambalpur,Odisha
Sambhal,Uttar Pradesh
Sambhar,Rajasthan
Samdhan,Uttar Pradesh
Samthar,Uttar Pradesh
Sanand,Gujarat
Sanawad,Madhya Pradesh
Sanchore,Rajasthan
Sarsod,Haryana
Sindagi,Karnataka
Sandi,Uttar Pradesh
Sandila,Uttar Pradesh
Sanduru,Karnataka
Sangamner,Maharashtra
Sangareddy,Telangana
Sangaria,Rajasthan
Sangli,Maharashtra
Sangole,Maharashtra
Sangrur,Punjab
Sankarankoil,Tamil Nadu
Sankari,Tamil Nadu
Sankeshwara,Karnataka
Santipur,West Bengal
Sarangpur,Madhya Pradesh
Sardarshahar,Rajasthan
Sardhana,Uttar Pradesh
Sarni,Madhya Pradesh
Sasaram,Bihar
Sasvad,Maharashtra
Satana,Maharashtra
Satara,Maharashtra
Satna,Madhya Pradesh
Sathyamangalam,Tamil Nadu
Sattenapalle,Andhra Pradesh
Sattur,Tamil Nadu
Saunda,Jharkhand
Saundatti-Yellamma,Karnataka
Sausar,Madhya Pradesh
Savarkundla,Gujarat
Savanur,Karnataka
Savner,Maharashtra
Sawai Madhopur,Rajasthan
Sawantwadi,Maharashtra
Sedam,Karnataka
Sehore,Madhya Pradesh
Sendhwa,Madhya Pradesh
Seohara,Uttar Pradesh
Seoni,Madhya Pradesh
Seoni-Malwa,Madhya Pradesh
Shahabad,Karnataka
"Shahabad, Hardoi",Uttar Pradesh
"Shahabad, Rampur",Uttar Pradesh
Shahade,Maharashtra
Shahbad,Haryana
Shahdol,Madhya Pradesh
Shahganj,Uttar Pradesh
Shahjahanpur,Uttar Pradesh
Shahpur,Karnataka
Shahpura,Rajasthan
Shahpura,Rajasthan
Shajapur,Madhya Pradesh
Shamgarh,Madhya Pradesh
Shamli,Uttar Pradesh
"Shamsabad, Agra",Uttar Pradesh
"Shamsabad, Farrukhabad",Uttar Pradesh
Shegaon,Maharashtra
Sheikhpura,Bihar
Shendurjana,Maharashtra
Shenkottai,Tamil Nadu
Sheoganj,Rajasthan
Sheohar,Bihar
Sheopur,Madhya Pradesh
Sherghati,Bihar
Sherkot,Uttar Pradesh
Shiggaon,Karnataka
Shikaripur,Karnataka
"Shikarpur, Bulandshahr",Uttar Pradesh
Shikohabad,Uttar Pradesh
Shillong,Meghalaya
Shimla,Himachal Pradesh
Shivamogga,Karnataka
Shirdi,Maharashtra
Shirpur-Warwade,Maharashtra
Shirur,Maharashtra
Shishgarh,Uttar Pradesh
Shivpuri,Madhya Pradesh
Sholavandan,Tamil Nadu
Sholingur,Tamil Nadu
Shoranur,Kerala
Surapura,Karnataka
Shrigonda,Maharashtra
Shrirampur,Maharashtra
Shrirangapattana,Karnataka
Shujalpur,Madhya Pradesh
Siana,Uttar Pradesh
Sibsagar,Assam
Siddipet,Telangana
Sidhi,Madhya Pradesh
Sidhpur,Gujarat
Sidlaghatta,Karnataka
Sihor,Gujarat
Sihora,Madhya Pradesh
Sikanderpur,Uttar Pradesh
Sikandra Rao,Uttar Pradesh
Sikandrabad,Uttar Pradesh
Sikar,Rajasthan
Silao,Bihar
Silapathar,Assam
Silchar,Assam
Siliguri,West Bengal
Sillod,Maharashtra
Silvassa,Dadra and Nagar Haveli
Simdega,Jharkhand
Sindhagi,Karnataka
Sindhnur,Karnataka
Singrauli,Madhya Pradesh
Sinnar,Maharashtra
Sira,Karnataka
Sircilla,Telangana
Sirhind Fatehgarh Sahib,Punjab
Sirkali,Tamil Nadu
Sirohi,Rajasthan
Sironj,Madhya Pradesh
Sirsa,Haryana
Sirsaganj,Uttar Pradesh
Sirsi,Karnataka
Sirsi,Uttar Pradesh
Siruguppa,Karnataka
Sitamarhi,Bihar
Sitapur,Uttar Pradesh
Sitarganj,Uttarakhand
Sivaganga,Tamil Nadu
Sivagiri,Tamil Nadu
Sivakasi,Tamil Nadu
Siwan,Bihar
Sohagpur,Madhya Pradesh
Sohna,Haryana
Sojat,Rajasthan
Solan,Himachal Pradesh
Solapur,Maharashtra
Sonamukhi,West Bengal
Sonepur,Bihar
Songadh,Gujarat
Sonipat,Haryana
Sopore,Jammu and Kashmir
Soro,Odisha
Soron,Uttar Pradesh
Soyagaon,Maharashtra
Sri Madhopur,Rajasthan
Srikakulam,Andhra Pradesh
Srikalahasti,Andhra Pradesh
Srinagar,Jammu and Kashmir
Srinagar,Uttarakhand
Srinivaspur,Karnataka
Srisailam Project (Right Flank Colony) Township,Andhra Pradesh
Srirampore,West Bengal
Srivilliputhur,Tamil Nadu
Suar,Uttar Pradesh
Sugauli,Bihar
Sujangarh,Rajasthan
Sujanpur,Punjab
Sultanganj,Bihar
Sullurpeta,Andhra Pradesh
Sultanpur,Uttar Pradesh
Sumerpur,Rajasthan
Sumerpur,Uttar Pradesh
Sunabeda,Odisha
Sunam,Punjab
Sundargarh,Odisha
Sundarnagar,Himachal Pradesh
Supaul,Bihar
Surandai,Tamil Nadu
Surat,Gujarat
Suratgarh,Rajasthan
Suri,West Bengal
Suriyampalayam,Tamil Nadu
Suryapet,Telangana
Tadepalligudem,Andhra Pradesh
Tadpatri,Andhra Pradesh
Taki,West Bengal
Talaja,Gujarat
Talcher,Odisha
Talegaon Dabhade,Maharashtra
Talikota,Karnataka
Taliparamba,Kerala
Talode,Maharashtra
